GAME_ID,TEAM_ID,PLAYER_ID,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,MIN
22400439,1610612748,202710,,,,,,,,,,,,,,,,,,,,0
22400439,1610612748,1630528,,,,,,,,,,,,,,,,,,,,0
22400439,1610612748,1642352,,,,,,,,,,,,,,,,,,,,0
22400439,1610612748,1641796,,,,,,,,,,,,,,,,,,,,0
22400439,1610612748,1629130,,,,,,,,,,,,,,,,,,,,0
22400439,1610612748,1641815,,,,,,,,,,,,,,,,,,,,0
22400439,1610612745,1628415,8,20,0.4,5,12,0.417,1,1,1,1,3,4,0,0,1,1,2,22,8,39.666666667
22400439,1610612745,1631095,2,8,0.25,2,5,0.4,1,1,1,1,2,3,0,0,0,2,2,7,-4,26.283333333
22400439,1610612745,1630578,8,14,0.571,0,1,0,2,2,1,5,13,18,6,1,1,5,4,18,4,34.783333333
22400439,1610612745,1630224,6,20,0.3,1,8,0.125,6,7,0.857,2,1,3,2,0,0,1,2,19,-10,34.283333333
22400439,1610612745,1627832,6,17,0.353,4,10,0.4,0,0,0,2,5,7,6,3,2,3,4,16,4,38.233333333
22400439,1610612745,1641708,2,4,0.5,0,1,0,1,2,0.5,3,2,5,5,1,0,0,3,5,-17,31.75
22400439,1610612745,203500,2,3,0.667,0,0,0,0,0,0,5,4,9,3,0,0,0,1,4,-6,12.483333333
22400439,1610612745,1641715,3,7,0.429,1,2,0.5,0,0,0,0,3,3,0,0,0,0,0,7,6,11.533333333
22400439,1610612745,1628988,1,4,0.25,0,1,0,0,0,0,0,0,0,2,0,0,0,3,2,-5,10.983333333
22400439,1610612745,1631106,,,,,,,,,,,,,,,,,,,,0
22400439,1610612745,201145,,,,,,,,,,,,,,,,,,,,0
22400439,1610612745,1629111,,,,,,,,,,,,,,,,,,,,0
22400439,1610612745,1642263,,,,,,,,,,,,,,,,,,,,0
22400439,1610612745,1630256,,,,,,,,,,,,,,,,,,,,0
22400385,1610612746,1626181,8,22,0.364,3,11,0.273,9,10,0.9,1,4,5,2,1,1,1,3,28,-12,41.583333333
22400385,1610612746,1627884,2,6,0.333,0,4,0,0,0,0,0,4,4,1,1,2,1,1,4,-3,17.433333333
22400385,1610612746,1627826,6,10,0.6,0,0,0,1,2,0.5,4,11,15,3,1,1,2,2,13,-2,33.866666667
22400385,1610612746,1627739,3,7,0.429,3,6,0.5,0,0,0,1,2,3,3,2,1,1,1,9,-8,33.5
22400385,1610612746,201935,6,18,0.333,2,9,0.222,5,5,1,0,8,8,3,1,1,7,2,19,-4,36.883333333
22400385,1610612746,1629599,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,-9,21.6
22400385,1610612746,1629645,8,12,0.667,2,4,0.5,1,2,0.5,1,1,2,3,1,0,4,3,19,-16,27.383333333
22400385,1610612746,201587,0,0,0,0,0,0,3,3,1,0,0,0,2,1,0,0,1,3,-8,14.866666667
22400385,1610612746,1628964,1,5,0.2,0,2,0,0,0,0,1,1,2,0,0,1,1,0,2,-10,10.216666667
22400385,1610612746,1641757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,1.333333333
22400385,1610612746,1630539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,1.333333333
22400385,1610612746,1630538,,,,,,,,,,,,,,,,,,,,0
22400385,1610612742,202691,6,9,0.667,4,6,0.667,0,0,0,0,1,1,1,4,0,1,4,16,14,23.616666667
22400385,1610612742,1629023,4,11,0.364,2,5,0.4,0,0,0,1,6,7,1,1,1,3,2,10,6,36.766666667
22400385,1610612742,1641726,5,6,0.833,0,0,0,1,1,1,5,6,11,5,2,2,1,4,11,13,28.45
22400385,1610612742,203915,4,13,0.308,1,6,0.167,6,6,1,0,3,3,6,3,0,1,1,15,11,29
22400385,1610612742,202681,6,25,0.24,2,9,0.222,1,1,1,1,2,3,6,0,0,1,1,15,12,37.716666667
22400385,1610612742,1628467,0,3,0,0,2,0,1,2,0.5,1,1,2,1,1,0,0,1,1,3,16.766666667
22400385,1610612742,1630230,4,8,0.5,2,3,0.667,2,2,1,0,3,3,2,1,0,1,0,12,6,21.316666667
22400385,1610612742,1629655,4,5,0.8,0,0,0,5,7,0.714,1,5,6,2,0,2,2,5,13,3,18.966666667
22400385,1610612742,1629656,7,8,0.875,3,4,0.75,3,3,1,2,5,7,1,0,0,1,0,20,12,25.066666667
22400385,1610612742,1641789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5833333333
22400385,1610612742,203939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5833333333
22400385,1610612742,1630556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5833333333
22400385,1610612742,1641765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5833333333
22400385,1610612742,202693,,,,,,,,,,,,,,,,,,,,0
22400091,1610612760,1631114,10,22,0.455,1,4,0.25,3,3,1,2,7,9,8,0,0,2,1,24,5,32.066666667
22400091,1610612760,1629652,2,5,0.4,1,3,0.333,2,2,1,0,2,2,1,0,0,1,0,7,16,24.733333333
22400091,1610612760,1631096,8,18,0.444,0,5,0,5,8,0.625,3,13,16,0,1,2,2,2,21,8,28.766666667
22400091,1610612760,1641717,4,11,0.364,0,4,0,1,1,1,1,5,6,2,3,0,0,1,9,15,29.3
22400091,1610612760,1628983,9,21,0.429,2,9,0.222,3,3,1,2,6,8,2,4,0,1,1,23,23,29.5
22400091,1610612760,1630598,4,7,0.571,0,2,0,0,0,0,1,2,3,1,1,0,2,5,8,17,15.716666667
22400091,1610612760,1631172,2,7,0.286,0,4,0,2,3,0.667,0,6,6,1,0,1,0,0,6,6,20.433333333
22400091,1610612760,1627936,1,5,0.2,1,3,0.333,0,0,0,0,2,2,2,2,2,0,3,3,2,21.666666667
22400091,1610612760,1630198,2,4,0.5,2,4,0.5,0,0,0,0,1,1,1,0,0,0,2,6,4,11.8
22400091,1610612760,1642349,2,5,0.4,0,0,0,0,0,0,0,1,1,3,2,0,1,2,4,0,15.716666667
22400091,1610612760,1641794,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-1,3.9
22400091,1610612760,1641745,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,3,0,3.2
22400091,1610612760,1642505,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2
22400091,1610612760,1642024,,,,,,,,,,,,,,,,,,,,0
22400091,1610612741,203897,6,13,0.462,4,9,0.444,6,7,0.857,0,9,9,3,2,1,7,1,22,-11,34.266666667
22400091,1610612741,1630172,1,8,0.125,1,4,0.25,0,0,0,2,6,8,2,1,0,1,1,3,-12,26.383333333
22400091,1610612741,202696,7,12,0.583,2,2,1,2,2,1,3,10,13,2,0,1,3,2,18,-14,32.516666667
22400091,1610612741,1629632,3,12,0.25,0,9,0,3,6,0.5,0,4,4,3,1,0,3,3,9,-20,29.8
22400091,1610612741,1630581,6,14,0.429,2,6,0.333,0,0,0,2,5,7,4,0,0,4,2,14,-21,26.433333333
22400091,1610612741,1628366,1,6,0.167,1,5,0.2,0,0,0,0,5,5,1,0,0,2,2,3,3,15.566666667
22400091,1610612741,1630245,1,11,0.091,1,9,0.111,0,0,0,0,5,5,6,0,0,2,4,3,-5,24.2
22400091,1610612741,1641763,3,6,0.5,2,5,0.4,1,1,1,0,1,1,0,1,0,0,1,9,-14,14.933333333
22400091,1610612741,1630188,1,4,0.25,1,2,0.5,1,2,0.5,2,4,6,0,0,0,0,2,4,-6,11.05
22400091,1610612741,1641824,1,3,0.333,0,0,0,1,2,0.5,1,0,1,0,0,0,1,1,3,1,7.116666667
22400091,1610612741,1629659,0,0,0,0,0,0,2,2,1,1,1,2,0,0,0,2,0,2,1,4.433333333
22400091,1610612741,1630537,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,3,1,4.433333333
22400091,1610612741,1628975,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4.433333333
22400091,1610612741,1631207,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,4.433333333
22400091,1610612741,1628470,,,,,,,,,,,,,,,,,,,,0
22400126,1610612740,1627742,5,11,0.455,2,6,0.333,2,2,1,1,4,5,6,0,0,2,2,14,-15,32.366666667
22400126,1610612740,1629627,5,20,0.25,0,1,0,2,7,0.286,6,6,12,4,0,1,4,3,12,-16,32.733333333
22400126,1610612740,1628464,0,2,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,-6,5.266666667
22400126,1610612740,1641722,9,21,0.429,4,14,0.286,1,2,0.5,1,3,4,1,0,0,2,3,23,-14,38.816666667
22400126,1610612740,1630631,6,13,0.462,4,8,0.5,0,0,0,1,4,5,4,1,2,1,2,16,-18,34.95
22400126,1610612740,1629750,1,5,0.2,1,4,0.25,2,2,1,2,3,5,2,3,2,1,1,5,-4,25.683333333
22400126,1610612740,1642274,0,5,0,0,0,0,0,0,0,2,1,3,1,0,0,0,0,0,-13,12.033333333
22400126,1610612740,1631288,3,4,0.75,0,1,0,1,2,0.5,1,1,2,1,1,1,1,4,7,0,23.866666667
22400126,1610612740,1630527,0,3,0,0,1,0,1,2,0.5,0,3,3,2,2,0,1,0,1,6,10.25
22400126,1610612740,1630526,3,4,0.75,0,1,0,3,3,1,2,3,5,3,0,0,1,2,9,5,22.666666667
22400126,1610612740,1641998,1,2,0.5,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,1.366666667
22400126,1610612740,203468,,,,,,,,,,,,,,,,,,,,0
22400126,1610612744,1630541,3,9,0.333,2,6,0.333,0,0,0,1,3,4,3,0,0,3,3,8,18,30.1
22400126,1610612744,203110,5,11,0.455,3,5,0.6,1,1,1,1,3,4,6,1,5,3,5,14,13,30.116666667
22400126,1610612744,1631218,7,9,0.778,0,0,0,1,2,0.5,1,8,9,2,0,1,0,1,15,11,20.2
22400126,1610612744,1630322,1,5,0.2,1,5,0.2,0,0,0,0,1,1,3,1,1,0,1,3,13,29.966666667
22400126,1610612744,1641764,5,15,0.333,2,7,0.286,1,2,0.5,2,6,8,7,1,0,4,2,13,13,38.1
22400126,1610612744,1630228,6,12,0.5,0,1,0,4,5,0.8,2,2,4,2,1,0,1,4,16,8,27.25
22400126,1610612744,1627741,8,19,0.421,4,12,0.333,1,1,1,2,0,2,3,1,1,0,1,21,0,29
22400126,1610612744,1626172,1,1,1,0,0,0,0,0,0,1,3,4,1,0,0,1,2,2,3,8.55
22400126,1610612744,203937,4,4,1,1,1,1,1,2,0.5,1,3,4,2,0,1,0,1,10,1,15.3
22400126,1610612744,1627780,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,2,0,-5,7.316666667
22400126,1610612744,1630311,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.366666667
