GAME_ID,TEAM_ID,PLAYER_ID,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,AST,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,FG_PCT,DFGM,DFGA,DFG_PCT,MIN
22400014,1610612751,1630560,4.08,2.85,0,5,5,70,0,0,34,3,4,6,0.667,12,16,0.75,0.726,2,2,1,38.716666667
22400014,1610612751,203471,4.47,2.76,2,4,6,97,0,0,76,8,0,5,0,4,12,0.333,0.234,2,2,1,33.566666667
22400014,1610612751,1630533,4.48,2.29,4,10,13,43,1,0,32,1,3,5,0.6,1,5,0.2,0.4,1,1,1,28.2
22400014,1610612751,1641730,4.47,1.05,3,1,4,22,0,0,16,2,0,0,0,1,3,0.333,0.333,3,3,1,12.883333333
22400014,1610612751,1630553,5.03,1.09,1,3,4,19,0,0,12,1,0,0,0,2,4,0.5,0.5,0,0,0,11.733333333
22400014,1610612751,1629003,4.53,0.45,2,1,3,11,0,0,8,0,0,0,0,1,3,0.333,0.333,0,0,0,5.5
22400014,1610612751,1630592,4.56,1.34,1,6,7,17,0,0,11,1,0,2,0,2,4,0.5,0.333,0,0,0,16.116666667
22400014,1610612751,1631213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22400014,1610612751,1642385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22400014,1610612752,1628384,4.04,2.82,4,9,12,63,0,0,42,1,5,5,1,5,12,0.417,0.587,2,2,1,38.75
22400014,1610612752,1628404,4.22,3.07,5,16,20,86,0,1,71,9,0,0,0,3,7,0.429,0.428,2,6,0.333,40.25
22400014,1610612752,1630579,4.5,1.43,4,4,8,23,0,0,19,1,1,2,0.5,1,1,1,0.667,0,4,0,17.983333333
22400014,1610612752,1628969,4.37,3.27,2,6,8,59,0,0,41,4,2,3,0.667,7,14,0.5,0.529,3,4,0.75,41.166666667
22400014,1610612752,1628973,4.23,2.63,0,3,3,77,1,0,46,7,5,7,0.714,7,13,0.538,0.599,1,1,1,34.116666667
22400014,1610612752,1626166,4.44,1.56,0,7,7,35,0,0,22,0,1,2,0.5,3,8,0.375,0.4,2,2,1,19.183333333
22400014,1610612752,1630574,4.33,2.4,4,4,8,31,0,0,20,3,3,3,1,0,2,0,0.599,2,6,0.333,30.016666667
22400014,1610612752,1642278,4.95,0.61,0,3,3,12,0,1,8,0,0,0,0,0,3,0,0,0,0,0,6.833333333
22400014,1610612752,1642359,4.66,1,3,4,7,15,0,0,13,0,0,0,0,1,1,1,1,0,0,0,11.7
22400014,1610612752,1630540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22400014,1610612752,1630346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22400014,1610612752,1631210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22400014,1610612752,1626157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22400439,1610612748,1629312,4.41,2.96,4,11,15,50,0,0,37,2,1,1,1,5,8,0.625,0.667,1,4,0.25,37.55
22400439,1610612748,201567,4.44,1.1,4,4,8,32,1,0,21,1,1,3,0.333,0,4,0,0.142,1,1,1,14
22400439,1610612748,1628389,3.94,2.42,4,11,15,56,0,2,36,1,2,6,0.333,2,6,0.333,0.333,6,8,0.75,34.283333333
22400439,1610612748,1629639,4.36,2.85,0,13,13,79,0,2,52,9,3,5,0.6,7,12,0.583,0.587,2,3,0.667,36.95
22400439,1610612748,1626179,4.34,2.95,3,6,9,75,0,0,50,0,4,9,0.444,2,10,0.2,0.316,0,0,0,38.183333333
22400439,1610612748,1631170,4.7,1.4,3,4,7,21,0,0,17,0,0,2,0,1,1,1,0.333,0,0,0,16.416666667
22400439,1610612748,1631107,4.02,2.24,3,8,11,51,0,0,40,6,2,4,0.5,3,5,0.6,0.556,2,4,0.5,30.966666667
22400439,1610612748,1642276,4.15,1.01,3,7,9,19,0,0,14,2,2,2,1,1,1,1,1,4,4,1,13.716666667
22400439,1610612748,202692,4.15,1.35,0,1,1,22,0,0,13,0,0,2,0,1,3,0.333,0.2,2,2,1,17.933333333
22400439,1610612748,202710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22400439,1610612748,1630528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22400439,1610612748,1642352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22400439,1610612748,1641796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22400439,1610612748,1629130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22400439,1610612748,1641815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22400439,1610612745,1628415,4.05,2.87,4,4,8,42,1,0,19,0,1,5,0.2,7,15,0.467,0.4,2,2,1,39.666666667
22400439,1610612745,1631095,4.2,1.99,2,6,8,24,1,0,14,0,0,1,0,2,7,0.286,0.25,3,5,0.6,26.283333333
22400439,1610612745,1630578,4.07,2.54,10,14,23,61,0,0,39,6,6,10,0.6,2,4,0.5,0.57,3,7,0.429,34.783333333
22400439,1610612745,1630224,4.28,2.59,2,2,4,60,1,0,34,2,2,6,0.333,4,14,0.286,0.299,4,4,1,34.283333333
22400439,1610612745,1627832,4.1,2.76,4,8,11,83,0,1,63,6,1,5,0.2,5,12,0.417,0.352,1,1,1,38.233333333
22400439,1610612745,1641708,4.38,2.48,7,2,8,34,0,0,29,5,1,3,0.333,1,1,1,0.5,1,1,1,31.75
22400439,1610612745,203500,4.17,0.91,6,4,10,29,0,0,25,3,1,2,0.5,1,1,1,0.667,0,1,0,12.483333333
22400439,1610612745,1641715,4.25,0.91,4,6,9,13,1,0,6,0,2,3,0.667,1,4,0.25,0.428,0,1,0,11.533333333
22400439,1610612745,1628988,4.65,0.95,1,0,1,19,1,0,15,2,1,2,0.5,0,2,0,0.25,0,0,0,10.983333333
22400439,1610612745,1631106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22400439,1610612745,201145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22400439,1610612745,1629111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22400439,1610612745,1642263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22400439,1610612745,1630256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22400385,1610612746,1626181,4.02,2.96,2,7,9,63,1,0,34,2,2,10,0.2,6,12,0.5,0.363,1,1,1,41.583333333
22400385,1610612746,1627884,4.38,1.35,1,9,10,19,0,0,12,1,1,1,1,1,5,0.2,0.333,1,1,1,17.433333333
22400385,1610612746,1627826,3.98,2.41,12,22,34,56,0,1,41,3,5,8,0.625,1,2,0.5,0.599,4,7,0.571,33.866666667
22400385,1610612746,1627739,4.17,2.51,1,7,8,53,2,0,45,3,0,0,0,3,7,0.429,0.428,0,0,0,33.5
22400385,1610612746,201935,3.63,2.4,2,10,11,93,0,0,63,3,2,6,0.333,4,12,0.333,0.333,1,1,1,36.883333333
22400385,1610612746,1629599,3.9,1.49,1,3,4,16,0,0,15,1,0,0,0,0,1,0,0,0,0,0,21.6
22400385,1610612746,1629645,4.3,2.1,3,6,9,55,0,0,37,3,3,4,0.75,5,8,0.625,0.667,1,1,1,27.383333333
22400385,1610612746,201587,4.07,1.06,0,0,0,20,0,0,19,2,0,0,0,0,0,0,0,0,1,0,14.866666667
22400385,1610612746,1628964,4.21,0.75,2,4,6,13,0,0,6,0,1,2,0.5,0,3,0,0.2,2,3,0.667,10.216666667
22400385,1610612746,1641757,3.55,0.09,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.333333333
22400385,1610612746,1630539,3.89,0.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.333333333
22400385,1610612746,1630538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22400385,1610612742,202691,4.14,1.73,0,4,4,29,0,0,20,1,2,2,1,4,7,0.571,0.667,3,3,1,23.616666667
22400385,1610612742,1629023,4.17,2.71,2,11,12,51,0,0,36,1,1,5,0.2,3,6,0.5,0.363,5,7,0.714,36.766666667
22400385,1610612742,1641726,4.38,2.19,7,13,20,51,1,0,44,5,3,4,0.75,2,2,1,0.832,1,4,0.25,28.45
22400385,1610612742,203915,3.86,2,3,6,9,55,0,0,38,6,1,5,0.2,3,8,0.375,0.307,0,0,0,29
22400385,1610612742,202681,3.88,2.61,5,8,13,75,0,2,47,6,3,14,0.214,3,11,0.273,0.239,3,3,1,37.716666667
22400385,1610612742,1628467,4.18,1.26,2,5,7,19,0,0,15,1,0,1,0,0,2,0,0,1,2,0.5,16.766666667
22400385,1610612742,1630230,4.24,1.61,0,6,6,36,0,1,24,2,1,4,0.25,3,4,0.75,0.5,0,0,0,21.316666667
22400385,1610612742,1629655,4.27,1.46,5,9,14,32,0,0,22,2,4,5,0.8,0,0,0,0.8,1,4,0.25,18.966666667
22400385,1610612742,1629656,4.23,1.88,4,6,10,42,0,0,30,1,3,3,1,4,5,0.8,0.875,1,1,1,25.066666667
22400385,1610612742,1641789,1.79,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5833333333
22400385,1610612742,203939,3.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5833333333
22400385,1610612742,1630556,2.71,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5833333333
22400385,1610612742,1641765,2.64,0.03,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5833333333
22400385,1610612742,202693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22400091,1610612760,1631114,4.7,2.72,4,16,20,79,0,0,52,8,4,9,0.444,6,13,0.462,0.455,0,1,0,32.066666667
22400091,1610612760,1629652,4.5,2,2,8,10,25,0,1,18,1,1,1,1,1,4,0.25,0.4,1,1,1,24.733333333
22400091,1610612760,1631096,4.64,2.34,8,19,26,59,1,0,33,0,3,7,0.429,5,11,0.455,0.444,1,7,0.143,28.766666667
22400091,1610612760,1641717,4.58,2.4,4,8,12,39,0,0,27,2,4,7,0.571,0,4,0,0.363,1,1,1,29.3
22400091,1610612760,1628983,4.24,2.24,3,8,11,65,2,1,43,2,7,9,0.778,2,12,0.167,0.428,0,0,0,29.5
22400091,1610612760,1630598,4.82,1.44,2,2,4,24,0,0,14,1,2,2,1,2,5,0.4,0.57,2,3,0.667,15.716666667
22400091,1610612760,1631172,4.5,1.66,2,7,7,32,1,0,23,1,1,2,0.5,1,5,0.2,0.285,0,3,0,20.433333333
22400091,1610612760,1627936,4.84,1.9,0,4,4,43,0,0,36,2,0,2,0,1,3,0.333,0.2,0,1,0,21.666666667
22400091,1610612760,1630198,4.7,1.02,1,2,3,10,0,0,6,1,0,0,0,2,4,0.5,0.5,0,0,0,11.8
22400091,1610612760,1642349,4.9,1.39,0,2,2,27,0,0,19,3,1,3,0.333,1,2,0.5,0.4,0,0,0,15.716666667
22400091,1610612760,1641794,4.06,0.29,0,1,1,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3.9
22400091,1610612760,1641745,4.06,0.23,0,0,0,5,0,0,3,0,0,0,0,1,1,1,1,0,0,0,3.2
22400091,1610612760,1642505,4.07,0.23,0,1,1,4,0,0,3,0,0,0,0,0,1,0,0,2,2,1,3.2
22400091,1610612760,1642024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22400091,1610612741,203897,4.49,2.76,2,14,16,66,2,0,40,3,2,3,0.667,4,10,0.4,0.462,1,1,1,34.266666667
22400091,1610612741,1630172,4.61,2.19,3,8,11,45,0,0,35,2,0,2,0,1,6,0.167,0.125,4,6,0.667,26.383333333
22400091,1610612741,202696,4.19,2.45,9,14,23,55,0,0,39,2,2,5,0.4,5,7,0.714,0.582,5,7,0.714,32.516666667
22400091,1610612741,1629632,4.35,2.36,2,7,8,62,1,1,43,3,1,1,1,2,11,0.182,0.25,2,4,0.5,29.8
22400091,1610612741,1630581,4.62,2.23,6,5,11,77,0,0,56,4,3,6,0.5,3,8,0.375,0.428,6,7,0.857,26.433333333
22400091,1610612741,1628366,4.61,1.27,2,7,8,39,1,1,32,1,0,0,0,1,6,0.167,0.167,2,3,0.667,15.566666667
22400091,1610612741,1630245,4.69,2.01,0,8,8,55,1,0,42,6,0,2,0,1,9,0.111,0.09,2,4,0.5,24.2
22400091,1610612741,1641763,4.87,1.32,0,2,2,14,0,0,7,0,1,1,1,2,5,0.4,0.5,1,3,0.333,14.933333333
22400091,1610612741,1630188,4.78,0.96,3,4,7,16,0,0,11,0,0,2,0,1,2,0.5,0.25,2,3,0.667,11.05
22400091,1610612741,1641824,4.38,0.57,1,0,1,9,0,0,5,0,1,2,0.5,0,1,0,0.333,0,0,0,7.116666667
22400091,1610612741,1629659,3.42,0.27,1,1,2,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4.433333333
22400091,1610612741,1630537,3.95,0.32,0,0,0,7,0,0,6,1,0,0,0,1,1,1,1,1,1,1,4.433333333
22400091,1610612741,1628975,4.22,0.34,0,0,0,8,0,0,7,1,0,0,0,0,1,0,0,1,1,1,4.433333333
22400091,1610612741,1631207,4.3,0.34,0,0,0,10,0,0,8,0,1,1,1,0,0,0,1,0,0,0,4.433333333
22400091,1610612741,1628470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22400126,1610612740,1627742,3.92,2.28,1,6,7,73,2,1,53,6,3,6,0.5,2,5,0.4,0.455,3,3,1,32.366666667
22400126,1610612740,1629627,4.06,2.39,10,7,17,75,0,0,47,4,4,14,0.286,1,6,0.167,0.25,0,1,0,32.733333333
22400126,1610612740,1628464,4.64,0.42,1,3,4,16,0,0,12,0,0,0,0,0,2,0,0,1,1,1,5.266666667
22400126,1610612740,1641722,4.43,3.09,3,6,9,64,0,0,39,1,1,3,0.333,8,18,0.444,0.428,7,8,0.875,38.816666667
22400126,1610612740,1630631,4.43,2.76,2,6,8,66,1,0,51,4,0,2,0,6,11,0.545,0.462,2,2,1,34.95
22400126,1610612740,1629750,4.31,2.01,3,7,9,40,0,0,31,2,0,0,0,1,5,0.2,0.2,0,1,0,25.683333333
22400126,1610612740,1642274,4.44,0.96,5,3,8,18,0,0,13,1,0,5,0,0,0,0,0,2,6,0.333,12.033333333
22400126,1610612740,1631288,4.36,1.89,2,3,5,22,0,0,16,1,3,3,1,0,1,0,0.75,1,3,0.333,23.866666667
22400126,1610612740,1630527,4.23,0.79,1,3,4,22,0,0,15,2,0,1,0,0,2,0,0,0,0,0,10.25
22400126,1610612740,1630526,4.34,1.76,5,7,11,35,0,0,29,3,2,2,1,1,2,0.5,0.75,3,4,0.75,22.666666667
22400126,1610612740,1641998,4.27,0.11,2,0,2,2,0,0,0,0,1,2,0.5,0,0,0,0.5,0,0,0,1.366666667
22400126,1610612740,203468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22400126,1610612744,1630541,4.28,2.32,5,6,10,31,0,0,18,3,1,3,0.333,2,6,0.333,0.333,0,0,0,30.1
22400126,1610612744,203110,3.8,2.04,2,14,16,78,0,0,63,6,2,5,0.4,3,6,0.5,0.455,2,6,0.333,30.116666667
22400126,1610612744,1631218,4.33,1.56,2,10,12,36,0,0,25,2,4,6,0.667,3,3,1,0.778,2,2,1,20.2
