GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS
0022400010,1610612755,PHI,Philadelphia,203083,Andre Drummond,Andre,,,3.000000:49,0.4,0.5,0.375,0.0,0.0,0.0,0.0,0.5,1.0,0.833,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5
0022400010,1610612755,PHI,Philadelphia,1630231,KJ Martin,KJ,,,1.000000:13,0.532,1.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75
0022400010,1610612755,PHI,Philadelphia,1641741,Ricky Council IV,Ricky,,,1.000000:13,0.266,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0022400010,1610612755,PHI,Philadelphia,1641737,Adem Bona,Adem,,,1.000000:13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400010,1610612755,PHI,Philadelphia,202704,Reggie Jackson,Reggie,,DNP - Coach's Decision,,0.0,,,,,,,,,,,,,,,,,
0022400010,1610612753,ORL,Orlando,1641783,Tristan da Silva,Tristan,F,,18.000000:24,0.137,0.143,0.156,0.0,0.176,0.5,0.5,0.0,0.273,0.188,0.0,0.0,0.25,0.0,0.0,0.091,0.2,0.162
0022400010,1610612753,ORL,Orlando,1630532,Franz Wagner,Franz,F,,40.000000:43,0.297,0.323,0.354,0.556,0.379,0.316,0.273,0.111,0.385,0.314,0.462,0.0,0.182,0.2,1.0,0.235,0.318,0.344
0022400010,1610612753,ORL,Orlando,1629048,Goga Bitadze,Goga,C,,26.000000:54,0.106,0.053,0.025,0.0,0.0,0.0,0.0,0.2,0.167,0.174,0.125,0.385,0.2,0.5,0.0,0.182,0.0,0.039
0022400010,1610612753,ORL,Orlando,203484,Kentavious Caldwell-Pope,Kentavious,G,,33.000000:25,0.152,0.115,0.167,0.25,0.24,0.0,0.0,0.0,0.05,0.036,0.091,0.167,0.25,0.0,0.0,0.154,0.067,0.11
0022400010,1610612753,ORL,Orlando,1630591,Jalen Suggs,Jalen,G,,34.000000:29,0.308,0.24,0.286,0.111,0.286,0.429,0.375,0.333,0.182,0.226,0.273,0.333,0.125,0.2,0.0,0.235,0.375,0.26
